match_id,winner,tier
569649581,radiant,Pro
569716737,radiant,Pro
579132234,radiant,Pro
580607270,dire,Pro
580713548,radiant,Pro
580795951,radiant,Pro
588972183,dire,Pro
589072947,dire,Pro
589157786,radiant,Pro
590348637,radiant,Pro
590436483,radiant,Pro
590518928,dire,Pro
591705499,radiant,Pro
591798786,dire,Pro
591890072,radiant,Pro
593051940,radiant,Pro
593144800,radiant,Pro
599472634,dire,Pro
599569853,dire,Pro
599633031,dire,Pro
600841581,dire,Pro
600946678,dire,Pro
601028596,dire,Pro
602248335,radiant,Pro
602341542,radiant,Pro
610263617,radiant,Pro
610363820,dire,Pro
610451558,radiant,Pro
611706372,dire,Pro
611805511,radiant,Pro
613149649,dire,Pro
613258812,dire,Pro
621041235,dire,Normal
621214317,dire,Normal
621620590,dire,Normal
621624233,radiant,High
621885923,radiant,Normal
623172202,radiant,High
623199714,dire,High
623246765,radiant,High
623384981,radiant,Normal
623642286,dire,Normal
624579175,dire,High
624608163,radiant,High
624642968,dire,High
624692548,radiant,High
624755961,radiant,High
624816454,radiant,Normal
625739549,radiant,Normal
625840949,radiant,Normal
625935277,dire,Normal
626519881,radiant,High
626684019,dire,High
626780627,dire,High
626855387,dire,High
627040007,radiant,High
627083336,radiant,High
627166226,radiant,High
627616609,radiant,High
627623750,radiant,Normal
627677789,radiant,Normal
627832188,radiant,Normal
627845961,dire,Normal
628111860,dire,High
628172689,radiant,Normal
628202167,dire,High
628238411,radiant,Normal
628328743,radiant,Normal
628546255,dire,Normal
628557042,dire,Normal
629067363,radiant,High
629142053,dire,High
634751129,radiant,VeryHigh
634790888,dire,VeryHigh
636257744,dire,VeryHigh
636303474,dire,VeryHigh
636311751,dire,VeryHigh
636342671,radiant,VeryHigh
636381308,radiant,VeryHigh
636420810,dire,VeryHigh
636469748,radiant,Normal
636476209,radiant,VeryHigh
636512456,dire,VeryHigh
636585258,dire,VeryHigh
637461379,dire,VeryHigh
638324033,radiant,Normal
638374052,radiant,Normal
638399346,radiant,VeryHigh
638431876,dire,Normal
638444119,radiant,VeryHigh
638514403,radiant,Normal
638646888,dire,Normal
639655565,radiant,VeryHigh
639915588,dire,Normal
639928171,radiant,Normal
639943860,radiant,VeryHigh
639944687,radiant,Normal
640022519,radiant,Normal
640050884,dire,High
640088992,radiant,VeryHigh
640183396,dire,VeryHigh
641405166,radiant,High
641717130,radiant,Normal
641756777,dire,Normal
641869130,dire,Normal
641876436,radiant,High
642238139,radiant,VeryHigh
642864521,dire,Normal
643015651,radiant,High
643051079,radiant,VeryHigh
643061665,radiant,Normal
643121928,dire,High
643128080,radiant,Pro
643208148,dire,Normal
643216184,radiant,Normal
643231908,radiant,Pro
643346528,radiant,Normal
643387304,dire,Normal
643438672,radiant,Normal
643470370,dire,Normal
643511051,dire,VeryHigh
643524414,dire,Normal
643538237,dire,VeryHigh
643571475,dire,Normal
643618598,radiant,VeryHigh
643624058,dire,High
643627112,radiant,Normal
643651688,radiant,VeryHigh
643680312,radiant,VeryHigh
643721703,radiant,VeryHigh
643752615,dire,VeryHigh
643792570,dire,VeryHigh
643833001,dire,VeryHigh
643837106,radiant,VeryHigh
644374912,radiant,High
644561255,radiant,VeryHigh
644617314,radiant,High
644676572,dire,VeryHigh
644725431,dire,Pro
644745895,radiant,Pro
644790017,dire,Pro
644837381,dire,Pro
644940512,dire,Pro
644941370,dire,High
644957827,dire,High
645037586,radiant,Pro
645047492,dire,Normal
645077087,dire,Normal
645093123,radiant,High
645112787,dire,Normal
645138849,radiant,VeryHigh
645149155,dire,High
645149633,radiant,Normal
645153730,dire,High
645174955,dire,High
645181933,dire,High
645191970,dire,High
645197172,radiant,High
645199327,dire,Normal
645212603,radiant,VeryHigh
645223470,dire,VeryHigh
645228608,radiant,High
645231926,dire,High
645231935,dire,VeryHigh
645252358,dire,VeryHigh
645258275,radiant,VeryHigh
645260190,dire,High
645268274,dire,High
645274767,radiant,High
645282289,dire,High
645284166,radiant,VeryHigh
645285079,dire,VeryHigh
645312257,dire,VeryHigh
645318558,radiant,VeryHigh
645319525,radiant,VeryHigh
645347209,radiant,VeryHigh
645358352,radiant,VeryHigh
645396133,radiant,High
645867950,dire,VeryHigh
646049346,dire,VeryHigh
646298269,radiant,Pro
646416200,dire,Pro
646501704,dire,Pro
647752500,radiant,Pro
647798202,radiant,VeryHigh
647826183,dire,Pro
647868978,dire,Pro
647869043,dire,VeryHigh
648005989,dire,Pro
648148700,dire,High
648170324,radiant,High
648244534,dire,High
648246832,dire,Normal
648267400,radiant,High
648271831,dire,Normal
648283764,dire,VeryHigh
